Year,Total
1880,201484
1881,192696
1882,221533
1883,216946
1884,243462
1885,240854
1886,255317
1887,247394
1888,299473
1889,288946
1890,301401
1891,286672
1892,334375
1893,325223
1894,338690
1895,351022
1896,357485
1897,346957
1898,381458
1899,339233
1900,450283
1901,345814
1902,386736
1903,381204
1904,403489
1905,423931
1906,428461
1907,465395
1908,488652
1909,511228
1910,590715
1911,644279
1912,988064
1913,1137111
1914,1416343
1915,1832461
1916,1934434
1917,2006784
1918,2171150
1919,2110266
1920,2262681
1921,2334511
1922,2289196
1923,2302527
1924,2381674
1925,2333326
1926,2295937
1927,2319274
1928,2260839
1929,2192051
1930,2223159
1931,2104071
1932,2111081
1933,1999141
1934,2076507
1935,2089596
1936,2077372
1937,2130370
1938,2212302
1939,2203276
1940,2302378
1941,2436060
1942,2731457
1943,2822127
1944,2689817
1945,2652638
1946,3195046
1947,3602032
1948,3452217
1949,3484531
1950,3503700
1951,3683862
1952,3799172
1953,3852228
1954,3979884
1955,4014041
1956,4121070
1957,4200007
1958,4131657
1959,4156434
1960,4154377
1961,4140244
1962,4035234
1963,3958791
1964,3887800
1965,3626029
1966,3475674
1967,3395130
1968,3378876
1969,3476215
1970,3607420
1971,3432585
1972,3143627
1973,3017412
1974,3040409
1975,3019910
1976,3034949
1977,3176864
1978,3174268
1979,3327416
1980,3444537
1981,3459182
1982,3507664
1983,3462826
1984,3487820
1985,3568075
1986,3555871
1987,3604403
1988,3693471
1989,3843559
1990,3950992
1991,3894329
1992,3840196
1993,3769282
1994,3716758
1995,3661351
1996,3646362
1997,3624799
1998,3677107
1999,3692537
2000,3778079
2001,3741451
2002,3736042
2003,3799971
2004,3818361
2005,3842004
2006,3952932
2007,3994007
2008,3926358
2009,3815638
2010,3690700
2011,3651914
2012,3650462
2013,3637310
2014,3696311
2015,3688687
2016,3652968
2017,3546301
